"","Country","Year.x","Code.x","Cost.of.Living.Index.x","Rent.Index","Health.Care.Index.x","Health.CareExp..Index","Quality.of.Life.Index","Family Planning","Live Births per Woman per Country","Annual Births per Country"
"68","Lithuania",2020,"LTU",44.28,13.65,69.49,125.61,159.42,0.5,1.69,27758
"69","Luxembourg",2020,"LUX",81.89,54.92,NA,NA,NA,NA,1.423,6496
"70","Macao",2020,"MAC",64.84,43.98,NA,NA,NA,NA,1.244,6961
"71","Malaysia",2020,"MYS",39.12,11,68.1,122.52,118.44,0.34,1.965,531804
"72","Malta",2020,"MLT",67.46,31.04,68.81,123.37,NA,NA,1.479,4341
"73","Mauritius",2020,"MUS",53.04,11.99,NA,NA,NA,0.32,1.359,12722
"74","Mexico",2020,"MEX",35.72,11.46,70.12,125.71,118.55,0.7,2.079,2192160
"75","Moldova",2020,"MDA",33.7,8.4,NA,NA,NA,0.42,1.278,39360
"76","Montenegro",2020,"MNE",38.23,10.38,NA,NA,NA,0.12,1.749,7275
"77","Morocco",2020,"MAR",34.32,8.94,45.72,77.88,105.46,0.58,2.353,668010
"78","Myanmar",2020,"MMR",42.11,23.78,NA,NA,NA,0.51,2.121,939304
"79","Namibia",2020,"NAM",43.1,16.12,NA,NA,NA,0.55,3.293,70276
"80","Nepal",2020,"NPL",29.05,4.77,56.88,99.67,NA,0.43,1.845,562119
"81","Netherlands",2020,"NLD",73.75,35.18,74.65,136.05,183.67,0.7,1.663,173080
"82","New Zealand",2020,"NZL",72.53,32.09,73.81,133.94,181.02,NA,1.866,59671
"83","Nicaragua",2020,"NIC",44.56,7.61,NA,NA,NA,0.77,2.349,131048
"84","Nigeria",2020,"NGA",31,23.59,51.59,89.88,55.65,0.12,5.248,7639486
"85","North Macedonia",2020,"MKD",31.59,6.49,56.38,100.54,110.46,0.13,1.482,21827
"86","Norway",2020,"NOR",101.43,36.15,74.36,135.67,175.19,NA,1.678,60032
"87","Oman",2020,"OMN",49.28,17.98,58.15,103.73,167.09,0.19,2.783,89906
"88","Pakistan",2020,"PAK",21.98,4.59,60.59,107.33,105.44,0.25,3.394,6045567
