,Country,2019,2020
214,Switzerland,88212,88511
215,Syria,421622,420602
216,Taiwan,200008,200005
217,Tajikistan,279320,277919
218,Tanzania,2111498,2153054
219,Thailand,707398,696526
220,Timor,37899,38264
221,Togo,264686,268061
222,Tonga,2508,2502
223,Trinidad and Tobago,17522,17103
224,Tunisia,199553,195883
225,Turkey,1308105,1300918
226,Turkmenistan,136816,134624
227,Uganda,1648528,1669841
228,Ukraine,407952,395731
229,United Arab Emirates,100073,100021
230,United Kingdom,772640,771427
231,United States,3932450,3957544
232,United States Virgin Islands,1199,1181
233,Upper-middle-income countries,36017892,35534851
234,Uruguay,47548,47274
235,Uzbekistan,688159,677227
236,Vanuatu,8750,8838
237,Venezuela,515171,508883
238,Vietnam,1584848,1566556
239,Western Africa,14406866,14623083
240,Western Asia,5524904,5513535
241,Western Sahara,11535,11598
242,World,140108052,139975303
243,Yemen,871528,874561
244,Zambia,640635,653578
245,Zimbabwe,436189,431769
